,Date,ObsTime,Hour,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2,2020/10/2,3,2,1007.1,1010.5,23.1,19.8,82,0.3,70,2,60,0,0,...,0,...,0,...
3,2020/10/2,4,3,1007.2,1010.6,23.1,20,83,0.7,70,2.4,70,0,0,...,0,...,0,...
4,2020/10/2,5,4,1007.4,1010.8,22.7,20.1,85,0.2,0,2.7,70,0,0,...,0,15,0,3
5,2020/10/2,6,5,1007.7,1011.1,22.5,20.4,88,0.2,0,2.2,40,0,0,0,0,...,0,...
6,2020/10/2,7,6,1008.1,1011.5,23.5,20.1,81,1.3,80,3.5,60,0,0,0.7,0.26,...,0,...
7,2020/10/2,8,7,1008.5,1011.8,26,18.9,65,1.6,60,2.9,70,0,0,1,0.94,20,1,0
8,2020/10/2,9,8,1008.6,1011.9,28,18.5,56,1.5,60,3.5,90,0,0,1,1.68,20,3,0
9,2020/10/2,10,9,1008.5,1011.8,29.5,19.2,54,1.4,350,4.7,50,0,0,1,2.39,...,5,...
10,2020/10/2,11,10,1008,1011.3,30.9,19.3,50,1.8,350,5,360,0,0,1,2.89,20,8,0
11,2020/10/2,12,11,1007.1,1010.4,31.6,19.3,48,2,20,5.5,360,0,0,1,3,...,9,...
12,2020/10/2,13,12,1006.2,1009.5,30.9,21.1,56,2.6,350,7.4,340,0,0,1,3,...,8,...
13,2020/10/2,14,13,1005.6,1008.9,30.8,20.4,54,2.7,360,7.6,350,0,0,1,2.59,20,7,1
14,2020/10/2,15,14,1005.1,1008.4,30.3,20.9,57,2.2,360,8,350,0,0,1,2.03,...,4,...
15,2020/10/2,16,15,1005.3,1008.6,30.4,21.8,60,2.7,350,6.7,20,0,0,1,1.35,...,2,...
16,2020/10/2,17,16,1005.6,1008.9,29.5,21.4,62,1.8,10,7.2,360,0,0,0.9,0.56,20,0,7
17,2020/10/2,18,17,1006.2,1009.5,28.2,21.7,68,2,350,5.5,330,0,0,0,0,...,0,...
18,2020/10/2,19,18,1007,1010.3,26.8,21.9,75,1.7,10,5.7,10,0,0,0,0,...,0,...
19,2020/10/2,20,19,1007.7,1011,26.3,21.8,76,0.9,70,3.9,70,0,0,...,0,10,0,0
20,2020/10/2,21,20,1008.4,1011.7,25.8,21.6,78,0.6,40,4.7,60,0,0,...,0,10,0,0
21,2020/10/2,22,21,1008.6,1011.9,25.5,21.6,79,0.5,40,2.7,40,0,0,...,0,...,0,...
22,2020/10/2,23,22,1008.9,1012.2,24.9,21.6,82,1,60,2.2,50,0,0,...,0,...,0,...
23,2020/10/2,24,23,1008.7,1012.1,24.5,21.6,84,0.1,0,2,30,0,0,...,0,...,0,...
0,2020/10/3,1,0,1008.3,1011.7,24.2,21.7,86,0.9,40,1.9,50,0,0,...,0,...,0,...
1,2020/10/3,2,1,1008,1011.4,23.8,21.5,87,0.8,60,1.9,70,0,0,...,0,...,0,...
2,2020/10/3,3,2,1007.9,1011.3,23.1,21.4,90,0.7,80,2.7,80,0,0,...,0,...,0,...
3,2020/10/3,4,3,1007.7,1011.1,23.1,21.4,90,1,60,2,70,0,0,...,0,...,0,...
4,2020/10/3,5,4,1007.8,1011.2,22.7,21.2,91,0.7,70,2.3,60,0,0,...,0,10,0,0
5,2020/10/3,6,5,1007.9,1011.3,22.6,21,91,0.7,70,2.5,80,0,0,0,0,...,0,...
6,2020/10/3,7,6,1008.2,1011.6,23.5,21.1,86,0.9,50,3,40,0,0,0.8,0.25,...,0,...
7,2020/10/3,8,7,1008.3,1011.6,26,19.5,67,0.7,80,2.5,80,0,0,1,0.93,12,1,1
8,2020/10/3,9,8,1008.6,1011.9,28.5,19,56,0.2,0,2.3,40,0,0,1,1.68,12,3,1
9,2020/10/3,10,9,1008.3,1011.6,30.5,20.3,55,0.7,50,3.1,280,0,0,1,2.36,...,5,...
10,2020/10/3,11,10,1007.6,1010.9,31,19.7,51,1.5,290,4.3,290,0,0,1,2.84,12,7,1
11,2020/10/3,12,11,1007,1010.3,31.6,20,50,2.8,280,5.3,280,0,0,1,3,...,9,...
12,2020/10/3,13,12,1006.1,1009.4,31.5,19.4,49,2.1,280,5.1,300,0,0,1,3,...,8,...
13,2020/10/3,14,13,1005.3,1008.6,31.4,19.3,49,1.8,300,5.3,280,0,0,1,2.56,25,7,3
14,2020/10/3,15,14,1005.1,1008.4,31,19.7,51,1.4,300,5.1,290,0,0,1,2.02,...,4,...
15,2020/10/3,16,15,1004.8,1008.1,30.3,21.7,60,1.5,300,5,300,0,0,0.8,1.12,...,2,...
16,2020/10/3,17,16,1005.1,1008.4,29.7,23.4,69,0.3,200,3.5,300,0,0,0.9,0.5,25,0,4
17,2020/10/3,18,17,1005.6,1008.9,29.4,22.4,66,0.5,160,2.4,170,0,0,0,0,...,0,...
18,2020/10/3,19,18,1006.3,1009.6,28.5,23,72,0.9,40,2.4,50,0,0,0,0,...,0,...
19,2020/10/3,20,19,1007.1,1010.4,27.5,21.8,71,1.5,60,4.1,80,0,0,...,0,16,0,3
20,2020/10/3,21,20,1007.6,1010.9,26.9,22.1,75,1.1,120,4.3,60,0,0,...,0,16,0,3
21,2020/10/3,22,21,1008,1011.3,26.4,22,77,0.7,80,2.9,50,0,0,...,0,...,0,...
22,2020/10/3,23,22,1008.2,1011.5,25.9,21.6,77,0.5,70,2,110,0,0,...,0,...,0,...
23,2020/10/3,24,23,1007.9,1011.2,25.1,22,83,0.9,70,2.2,60,0,0,...,0,...,0,...
0,2020/10/4,1,0,1007.5,1010.8,24.6,21.9,85,1,70,2.3,40,0,0,...,0,...,0,...
1,2020/10/4,2,1,1006.9,1010.2,24.3,21.9,86,0.5,80,3.1,50,0,0,...,0,...,0,...
2,2020/10/4,3,2,1006.7,1010.1,24.1,21.6,86,1.1,80,2.7,50,0,0,...,0,...,0,...
3,2020/10/4,4,3,1006.7,1010.1,24.1,21.4,85,0.7,80,2.7,80,0,0,...,0,...,0,...
4,2020/10/4,5,4,1006.8,1010.2,23.9,21.2,85,0.6,70,2.2,90,0,0,...,0,16,0,1
5,2020/10/4,6,5,1007.1,1010.5,23.7,21,85,0.9,70,2.2,70,0,0,0,0,...,0,...
6,2020/10/4,7,6,1007.5,1010.8,24.5,21.1,81,0.7,70,2.2,60,0,0,0.7,0.24,...,0,...
7,2020/10/4,8,7,1007.6,1010.9,26.7,19.4,64,1.4,60,2.9,100,0,0,1,0.92,16,1,1
8,2020/10/4,9,8,1007.4,1010.7,29.6,20.2,57,0.3,V,2.2,70,0,0,1,1.64,16,3,1
9,2020/10/4,10,9,1006.6,1009.9,30.7,19.2,50,0.8,330,2.3,70,0,0,1,2.3,...,5,...
10,2020/10/4,11,10,1006.1,1009.4,30.9,21.2,56,1.7,300,4.1,290,0,0,1,2.57,16,7,1
11,2020/10/4,12,11,1005.2,1008.5,31.7,21,53,1.4,330,4.8,270,0,0,1,3,...,8,...
12,2020/10/4,13,12,1004.5,1007.8,31.8,21.1,53,1.3,330,4.7,340,0,0,1,2.97,...,8,...
13,2020/10/4,14,13,1004.2,1007.5,31.5,21.5,55,1.2,320,5.5,10,0,0,1,2.42,20,6,1
14,2020/10/4,15,14,1004,1007.3,30.7,20.1,53,1.3,330,5.5,360,0,0,1,1.94,...,4,...
15,2020/10/4,16,15,1004.3,1007.6,30.3,20.6,56,1.4,350,4.4,350,0,0,1,1.31,...,2,...
16,2020/10/4,17,16,1004.5,1007.8,29.7,21.9,63,1.3,360,3.5,360,0,0,0.8,0.48,20,0,2
17,2020/10/4,18,17,1005.1,1008.4,28.9,21.6,65,0.7,350,3,340,0,0,0,0,...,0,...
18,2020/10/4,19,18,1005.6,1008.9,28.5,22.1,68,0.5,20,4.7,50,0,0,0,0,...,0,...
19,2020/10/4,20,19,1006.5,1009.8,27.4,22.4,74,0.8,20,3.2,60,0,0,...,0,16,0,1
20,2020/10/4,21,20,1006.8,1010.1,27.2,23.1,78,0.9,60,3.4,100,0,0,...,0,12,0,1
21,2020/10/4,22,21,1006.8,1010.1,27,22.8,78,2.2,90,5.1,80,0,0,...,0,...,0,...
22,2020/10/4,23,22,1006.7,1010,27,21.8,73,1,50,4.2,110,0,0,...,0,...,0,...
23,2020/10/4,24,23,1006.5,1009.8,26.8,21.8,74,1.6,40,6.3,40,0,0,...,0,...,0,...
0,2020/10/5,1,0,1006.7,1010,26.7,22.2,76,4.4,10,11.7,10,0,0,...,0,...,0,...
1,2020/10/5,2,1,1006.9,1010.2,26.3,21.6,75,4.4,10,10.3,360,0,0,...,0,...,0,...
2,2020/10/5,3,2,1007.1,1010.4,25.6,22.7,84,3.7,20,11.2,360,0,0,...,0,...,0,...
3,2020/10/5,4,3,1007.4,1010.7,25,22.2,84,3.1,20,9.2,40,0,0,...,0,...,0,...
4,2020/10/5,5,4,1008,1011.3,25.1,21.4,80,3.3,360,9.8,10,0,0,...,0,16,0,1
5,2020/10/5,6,5,1008.6,1012,24.5,21.6,84,2.3,30,8.9,350,0,0,0,0,...,0,...
6,2020/10/5,7,6,1008.9,1012.3,24.6,21.6,83,2.9,30,7.2,360,0,0,0.2,0.2,...,0,...
7,2020/10/5,8,7,1009.2,1012.6,24.9,21.7,82,3,30,8.8,30,0,0,0.1,0.47,12,1,9
8,2020/10/5,9,8,1009.4,1012.7,25,21.9,83,3.8,20,10,20,T,0.2,0,0.4,8,1,9
9,2020/10/5,10,9,1009.5,1012.9,24.7,21.6,83,4.2,10,11.4,40,T,0.1,0,0.43,...,1,...
10,2020/10/5,11,10,1009.5,1012.9,25,21.3,80,3.9,10,14.1,360,0,0,0,0.6,8,2,10
11,2020/10/5,12,11,1009.3,1012.6,25.8,20.3,72,4.1,30,13.9,60,0,0,0.1,1.1,...,4,...
12,2020/10/5,13,12,1008.6,1011.9,25.5,20.2,73,3.5,30,12.3,60,0,0,0,0.62,...,2,...
13,2020/10/5,14,13,1008.3,1011.6,26.2,19.8,68,5.1,40,14.6,70,0,0,0.1,1.11,12,4,8
14,2020/10/5,15,14,1008.4,1011.7,26.4,19.5,66,3.5,60,14.2,50,0,0,0.4,1.34,...,3,...
15,2020/10/5,16,15,1008.7,1012,25.7,20.8,74,3.4,40,12.4,50,0,0,0.6,0.89,...,2,...
16,2020/10/5,17,16,1009.1,1012.4,25.3,21.1,78,3.4,30,13.9,50,0,0,0.7,0.45,12,0,6
17,2020/10/5,18,17,1009.5,1012.9,24.6,20.7,79,3.5,20,12.3,30,0,0,0,0,...,0,...
18,2020/10/5,19,18,1010.1,1013.5,24.6,20.5,78,3.4,40,12.9,360,0,0,0,0,...,0,...
19,2020/10/5,20,19,1011.1,1014.5,24,20.8,82,2.7,40,8.3,20,0,0,...,0,10,0,6
20,2020/10/5,21,20,1011.5,1014.9,23.7,20.3,81,2.5,40,9.9,10,0,0,...,0,10,0,6
21,2020/10/5,22,21,1011.7,1015.1,23.5,20.1,81,2.9,40,8.4,60,0,0,...,0,...,0,...
22,2020/10/5,23,22,1011.7,1015.1,23.3,19.8,81,4.1,30,8.4,30,0,0,...,0,...,0,...
23,2020/10/5,24,23,1011.3,1014.7,23.1,19.5,80,3.3,40,9.7,20,0,0,...,0,...,0,...
0,2020/10/6,1,0,1011,1014.4,22.9,19.4,81,3.4,20,10.4,30,0,0,...,0,...,0,...
1,2020/10/6,2,1,1010.8,1014.2,22.9,19.7,82,2.7,30,8.4,50,0,0,...,0,...,0,...
2,2020/10/6,3,2,1010.7,1014.1,22.7,19.1,80,2.7,40,10.6,40,0,0,...,0,...,0,...
3,2020/10/6,4,3,1010.7,1014.1,22.6,19.2,81,2,30,9.4,40,0,0,...,0,...,0,...
4,2020/10/6,5,4,1010.6,1014,22.8,19,79,3.5,50,11.7,10,0,0,...,0,10,0,5
5,2020/10/6,6,5,1011,1014.4,22.8,18.8,78,2.7,20,10,10,0,0,0,0,...,0,...
6,2020/10/6,7,6,1011.7,1015.1,23.4,18.8,75,3.7,20,9,30,0,0,0.7,0.25,...,0,...
7,2020/10/6,8,7,1012.2,1015.6,25,18,65,2.4,30,10.4,20,0,0,0.9,0.89,15,1,3
8,2020/10/6,9,8,1012.3,1015.7,25.7,16.9,58,3.2,20,13.7,40,0,0,1,1.68,20,3,3
9,2020/10/6,10,9,1012.4,1015.8,25.5,17.9,63,6.2,10,14.3,10,0,0,0.9,2,...,5,...
10,2020/10/6,11,10,1012.1,1015.5,25.5,18.1,64,6,10,13.8,10,0,0,0.8,2.11,15,7,3
11,2020/10/6,12,11,1011.6,1014.9,26.3,17.5,58,4.6,30,13.4,360,0,0,0.6,1.87,...,7,...
12,2020/10/6,13,12,1010.6,1013.9,26,17,58,4.9,10,14.3,50,0,0,0.7,2.04,...,7,...
13,2020/10/6,14,13,1010.1,1013.4,26.2,16.9,57,5.3,20,15,360,0,0,0.9,2.1,20,6,3
14,2020/10/6,15,14,1010.1,1013.4,26.4,15.4,51,4.6,40,16.1,50,0,0,1,1.87,...,4,...
15,2020/10/6,16,15,1009.6,1012.9,26,17.4,59,4.8,30,14.8,60,0,0,1,1.36,...,2,...
16,2020/10/6,17,16,1010.2,1013.5,25.3,16.7,59,3.2,30,14.5,20,0,0,0.8,0.44,25,0,0
17,2020/10/6,18,17,1010.5,1013.9,24.7,17.5,64,3.3,20,9.6,40,0,0,0,0,...,0,...
18,2020/10/6,19,18,1011.3,1014.7,24.3,18.2,69,3.3,20,9.7,40,0,0,0,0,...,0,...
19,2020/10/6,20,19,1011.8,1015.2,23.8,18,70,3.8,20,12.6,50,0,0,...,0,15,0,2
20,2020/10/6,21,20,1012.5,1015.9,23.7,18.1,71,3.5,20,11.5,70,0,0,...,0,15,0,2
21,2020/10/6,22,21,1012.6,1016,23.3,17.9,72,3.8,30,12.6,20,0,0,...,0,...,0,...
22,2020/10/6,23,22,1012.2,1015.6,23.4,17.6,70,3.2,20,10.1,30,0,0,...,0,...,0,...
23,2020/10/6,24,23,1011.7,1015.1,23.4,17.6,70,3.9,10,12.1,50,0,0,...,0,...,0,...
0,2020/10/7,1,0,1011.4,1014.8,22.9,18,74,3,20,12.1,20,0,0,...,0,...,0,...
1,2020/10/7,2,1,1011,1014.4,22.8,17.7,73,2.2,20,9.8,40,0,0,...,0,...,0,...
2,2020/10/7,3,2,1010.7,1014.1,22.8,17.7,73,2,10,9.2,30,0,0,...,0,...,0,...
3,2020/10/7,4,3,1010.5,1013.9,23,17.8,73,3.5,10,8.6,10,0,0,...,0,...,0,...
4,2020/10/7,5,4,1010.8,1014.2,22.8,17.9,74,2.8,10,11.6,10,0,0,...,0,15,0,1
5,2020/10/7,6,5,1011.6,1015,23,18.1,74,3.9,20,10.4,360,0,0,0,0,...,0,...
6,2020/10/7,7,6,1012.1,1015.5,23.4,18.4,74,3.5,10,9.1,360,0,0,0.7,0.28,...,0,...
7,2020/10/7,8,7,1012.6,1016,24.9,16.4,59,4.3,20,11.2,10,0,0,1,0.97,25,1,1
8,2020/10/7,9,8,1013.3,1016.7,25.9,15.9,54,3.5,10,11.5,10,0,0,1,1.7,25,3,1
9,2020/10/7,10,9,1013.3,1016.6,26.9,15.3,49,4.5,40,11.9,50,0,0,1,2.38,...,6,...
10,2020/10/7,11,10,1012.9,1016.2,26.5,16.8,55,3.8,10,14.4,360,0,0,0.8,2.67,20,7,6
11,2020/10/7,12,11,1011.9,1015.2,27.1,16.5,52,5.2,20,13.9,10,0,0,1,2.98,...,9,...
12,2020/10/7,13,12,1011,1014.3,27.3,16,50,4.5,10,13,360,0,0,1,2.89,...,8,...
13,2020/10/7,14,13,1010.6,1013.9,27.3,16.6,52,4.2,20,13.7,10,0,0,1,2.39,20,6,2
14,2020/10/7,15,14,1010.3,1013.6,25.6,16.5,57,5.7,360,13.9,30,0,0,1,2.02,...,4,...
15,2020/10/7,16,15,1010.5,1013.8,25.4,17.6,62,4.6,10,15,20,0,0,1,1.42,...,2,...
16,2020/10/7,17,16,1010.7,1014.1,24.5,17,63,4.2,10,13,60,0,0,0.7,0.44,20,0,2
17,2020/10/7,18,17,1011.2,1014.6,24.2,16.4,62,3.6,10,11.9,30,0,0,0,0,...,0,...
18,2020/10/7,19,18,1011.8,1015.2,23.8,17.1,66,3,30,8.3,20,0,0,0,0,...,0,...
19,2020/10/7,20,19,1012.2,1015.6,24,17.5,67,2.6,50,7,70,0,0,...,0,20,0,10
20,2020/10/7,21,20,1012.3,1015.7,24,17.5,67,1.8,30,8.3,40,0,0,...,0,20,0,9
21,2020/10/7,22,21,1012.5,1015.9,23.8,18,70,2.6,30,10.6,50,0,0,...,0,...,0,...
22,2020/10/7,23,22,1012,1015.4,23.6,18,71,2.9,30,6.9,40,0,0,...,0,...,0,...
23,2020/10/7,24,23,1012,1015.4,23.1,19,78,2.5,50,9,40,0,0,...,0,...,0,...
0,2020/10/8,1,0,1011.3,1014.7,23,18.4,75,1.9,20,8.7,360,0,0,...,0,...,0,...
1,2020/10/8,2,1,1011,1014.4,22.9,18.3,75,2.1,10,9.3,20,0,0,...,0,...,0,...
2,2020/10/8,3,2,1011.3,1014.7,22.1,18.8,82,3.6,60,8.3,80,0,0,...,0,...,0,...
3,2020/10/8,4,3,1011.5,1014.9,22.4,18.4,78,2.3,70,6,10,0,0,...,0,...,0,...
4,2020/10/8,5,4,1011.8,1015.2,23.1,17.8,72,3.1,50,7.1,70,0,0,...,0,15,0,9
5,2020/10/8,6,5,1012.2,1015.6,23,17.7,72,2.2,40,7.6,50,0,0,0,0,...,0,...
6,2020/10/8,7,6,1012.6,1016,23.4,17.8,71,2.7,60,8.5,50,0,0,0.3,0.15,...,0,...
7,2020/10/8,8,7,1013.2,1016.6,24,17.5,67,2.6,30,8,10,0,0,0.4,0.75,15,1,9
8,2020/10/8,9,8,1013,1016.4,25.1,17.1,61,2.6,40,10.6,50,0,0,0.1,0.98,15,2,8
9,2020/10/8,10,9,1012.8,1016.2,25.7,16.6,57,3.5,50,10.1,50,0,0,0.6,1.65,...,4,...
10,2020/10/8,11,10,1012.4,1015.7,28.5,16.9,49,3.4,50,10.3,70,0,0,0.8,2.28,15,7,7
11,2020/10/8,12,11,1012.3,1015.6,25.9,17,58,3.3,30,10.5,360,0,0,0,0.7,...,2,...
12,2020/10/8,13,12,1011.6,1014.9,26.8,16.1,52,4.8,10,11.3,30,0,0,0.2,1.38,...,4,...
13,2020/10/8,14,13,1011.2,1014.5,26.5,17,56,2.8,20,11.4,50,0,0,0.5,2.05,15,5,10
14,2020/10/8,15,14,1011,1014.4,24.2,19.3,74,3,20,10.7,10,0,0,0,0.62,...,2,...
15,2020/10/8,16,15,1011,1014.3,25.8,17.5,60,3.4,10,11,30,0,0,0.5,0.82,...,1,...
16,2020/10/8,17,16,1011.2,1014.6,24.8,18.5,68,3.2,10,10.1,20,0,0,0.4,0.29,15,0,9
17,2020/10/8,18,17,1011.5,1014.9,24.2,19,73,3.8,20,11.8,30,0,0,0,0,...,0,...
18,2020/10/8,19,18,1011.9,1015.3,23.7,19.1,75,2.4,40,9.6,20,0,0,0,0,...,0,...
19,2020/10/8,20,19,1012.6,1016,23.9,19,74,3.4,60,8.6,10,0,0,...,0,10,0,7
20,2020/10/8,21,20,1012.9,1016.3,23.6,19.2,76,2.4,30,6.6,20,0,0,...,0,10,0,3
21,2020/10/8,22,21,1012.9,1016.3,23.6,19.3,77,2.9,50,7.3,70,0,0,...,0,...,0,...
22,2020/10/8,23,22,1013.1,1016.5,22.9,19.3,80,3.5,60,9.7,50,0,0,...,0,...,0,...
23,2020/10/8,24,23,1012.6,1016,23.1,18.9,77,3,50,7.8,70,0,0,...,0,...,0,...
0,2020/10/9,1,0,1012.3,1015.7,22.9,19.3,80,2.6,40,8,50,0,0,...,0,...,0,...
1,2020/10/9,2,1,1011.9,1015.3,22.8,19,79,3,40,8.2,50,0,0,...,0,...,0,...
2,2020/10/9,3,2,1011.7,1015.1,23,18.8,77,2.9,30,10.3,40,0,0,...,0,...,0,...
3,2020/10/9,4,3,1011.5,1014.9,23,18.8,77,3.2,60,10.6,40,0,0,...,0,...,0,...
4,2020/10/9,5,4,1011.5,1014.9,23,19,78,1.7,30,7.4,40,0,0,...,0,10,0,10
5,2020/10/9,6,5,1011.9,1015.3,23,19,78,2.4,30,6.8,50,0,0,0,0,...,0,...
6,2020/10/9,7,6,1012.5,1015.9,23.3,18.8,76,2.1,50,6.9,50,0,0,0,0,...,0,...
7,2020/10/9,8,7,1013.1,1016.5,24.6,18.4,68,2.5,50,7.6,50,0,0,0,0.59,15,1,9
8,2020/10/9,9,8,1013.1,1016.5,25.6,17.8,62,2.9,50,8.6,50,0,0,0,1.18,15,2,8
9,2020/10/9,10,9,1013.4,1016.8,26,16.4,55,3.7,20,11.7,20,0,0,0.6,1.95,...,5,...
10,2020/10/9,11,10,1013,1016.3,26.2,16.2,54,4.1,50,12.4,40,0,0,1,2.69,15,8,6
11,2020/10/9,12,11,1011.9,1015.2,27.1,16.9,54,4.1,40,11.6,70,0,0,0.9,2.81,...,9,...
12,2020/10/9,13,12,1011.1,1014.4,26.5,16.4,54,4.7,30,12.9,30,0,0,0.7,2.19,...,7,...
13,2020/10/9,14,13,1010.5,1013.8,26.5,17,56,4.6,20,12.1,360,0,0,0.5,1.68,16,5,7
14,2020/10/9,15,14,1010.3,1013.6,25.8,18.6,64,4.1,10,11.7,10,0,0,0.6,1.4,...,3,...
15,2020/10/9,16,15,1010.1,1013.4,25.5,18.8,66,3.7,20,11.1,30,0,0,0.9,1.18,...,2,...
16,2020/10/9,17,16,1010.1,1013.5,25.1,17.8,64,3.2,20,11.5,360,0,0,0.7,0.39,16,0,7
17,2020/10/9,18,17,1010.4,1013.8,24.4,18.1,68,2.3,20,10.2,50,0,0,0,0,...,0,...
18,2020/10/9,19,18,1011.1,1014.5,23.9,18.6,72,2.3,30,6.5,20,0,0,0,0,...,0,...
19,2020/10/9,20,19,1011.5,1014.9,23.6,18.9,75,1.8,40,6.1,30,0,0,...,0,12,0,8
20,2020/10/9,21,20,1011.8,1015.2,23.5,19.4,78,3.4,30,8.7,40,0,0,...,0,12,0,7
21,2020/10/9,22,21,1011.6,1015,23.1,19.6,81,2.1,40,7.9,10,0,0,...,0,...,0,...
22,2020/10/9,23,22,1011.3,1014.7,23.1,19.8,82,2.4,40,8.4,50,0,0,...,0,...,0,...
23,2020/10/9,24,23,1011,1014.4,23.1,19.8,82,2.3,30,7.9,20,0,0,...,0,...,0,...
0,2020/10/10,1,0,1010.3,1013.7,23,20,83,1.9,30,7.7,30,0,0,...,0,...,0,...
1,2020/10/10,2,1,1009.5,1012.9,23.3,19.6,80,2.8,40,7.9,10,0,0,...,0,...,0,...
2,2020/10/10,3,2,1009.4,1012.8,22.9,20.1,84,2.8,40,8.5,30,0,0,...,0,...,0,...
3,2020/10/10,4,3,1009.1,1012.5,22.7,19.5,82,2.2,20,6.8,60,0,0,...,0,...,0,...
4,2020/10/10,5,4,1009.4,1012.8,22.5,19.6,84,1.9,20,6.1,40,0,0,...,0,12,0,2
5,2020/10/10,6,5,1009.5,1012.9,22.5,19.9,85,1.7,30,6.6,360,0,0,0,0,...,0,...
6,2020/10/10,7,6,1010.5,1013.9,23.3,19.8,81,1.9,20,5.1,80,0,0,0.7,0.22,...,0,...
7,2020/10/10,8,7,1010.9,1014.3,24.5,18.4,69,3.3,30,9.8,20,0,0,0.9,0.81,15,1,5
8,2020/10/10,9,8,1010.9,1014.2,25.9,18,62,3,10,10.6,50,0,0,0.6,1.23,16,2,6
9,2020/10/10,10,9,1010.7,1014,25.5,18.8,66,4.1,10,11.7,40,0,0,0.2,1.15,...,3,...
10,2020/10/10,11,10,1010.3,1013.6,25.9,19.4,67,4.1,10,11.6,360,0,0,0.2,1.4,20,4,8
11,2020/10/10,12,11,1009.6,1012.9,25.7,19.3,68,4.8,10,13.3,20,0,0,0.3,1.39,...,5,...
12,2020/10/10,13,12,1009.1,1012.4,25.8,19.8,70,4.4,10,14.2,10,0,0,0.5,1.89,...,6,...
13,2020/10/10,14,13,1008.7,1012,25.6,19,67,3.9,10,12.1,360,0,0,0.2,1.32,12,4,7
14,2020/10/10,15,14,1008.2,1011.5,25.7,19.6,69,4.1,20,12.4,10,0,0,0.2,1,...,2,...
15,2020/10/10,16,15,1008.1,1011.4,25.4,19.6,70,3.5,20,11.6,40,0,0,0.6,0.86,...,1,...
16,2020/10/10,17,16,1008,1011.3,24.8,20.1,75,3.7,10,9.6,360,0,0,0.4,0.35,15,0,5
